Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
Returnal,"PlayStation 5, PC",2021-04-30,86,7.4,126,4473,"PlayStation Studios, Sony Interactive Entertainment",Third Person Shooter,T,https://www.metacritic.com/game/returnal/
Sumire,"Nintendo Switch, PC, iOS (iPhone/iPad)",2021-05-27,86,7.4,17,16,GameTomo,Adventure,Not Rated,https://www.metacritic.com/game/sumire/
ENDER LILIES: Quietus of the Knights,"PC, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5",2021-06-22,86,8.2,28,370,Binary Haze Interactive,Metroidvania,T,https://www.metacritic.com/game/ender-lilies-quietus-of-the-knights/
Inscryption,"PC, PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One",2021-10-19,85,8.5,54,949,Devolver Digital,Card Battle,Not Rated,https://www.metacritic.com/game/inscryption/
Control: Ultimate Edition,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2021-02-02,85,7.8,31,1012,"505 Games, Marvelous Inc., Marvelous Entertainment",Action Adventure,M,https://www.metacritic.com/game/control-ultimate-edition/
The Forgotten City,"PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X",2021-07-28,85,8.1,38,293,"Dear Villagers, Plug In Digital",Action Adventure,T,https://www.metacritic.com/game/the-forgotten-city/
Football Manager 2022,"PC, Xbox One, Xbox Series X, iOS (iPhone/iPad), Nintendo Switch",2021-11-09,85,7.3,42,109,"Sega Europe, Sega",Soccer Management,E,https://www.metacritic.com/game/football-manager-2022/
Death's Door,"Xbox Series X, Xbox One, PC, PlayStation 5, PlayStation 4, Nintendo Switch",2021-07-20,85,8.1,61,544,Devolver Digital,Action Adventure,Not Rated,https://www.metacritic.com/game/deaths-door/
Doki Doki Literature Club Plus!,"PlayStation 4, PC, Nintendo Switch, Xbox One, PlayStation 5, Xbox Series X",2021-06-30,85,8.0,15,427,"Serenity Forge, Playism",Visual Novel,M,https://www.metacritic.com/game/doki-doki-literature-club-plus/
Death Stranding: Director's Cut,"PlayStation 5, PC, iOS (iPhone/iPad), Xbox Series X",2021-09-24,85,8.1,75,2242,"Sony Interactive Entertainment, PlayStation Studios",Open-World Action,M,https://www.metacritic.com/game/death-stranding-directors-cut/
Shin Megami Tensei V,Nintendo Switch,2021-11-12,84,8.4,103,734,"Atlus, Nintendo, Sega",JRPG,M,https://www.metacritic.com/game/shin-megami-tensei-v/
F1 2021,"PlayStation 5, Xbox Series X, PlayStation 4, Xbox One, PC",2021-07-15,84,6.7,32,157,Electronic Arts,Auto Racing Sim,E,https://www.metacritic.com/game/f1-2021/
Shovel Knight Pocket Dungeon,"Nintendo Switch, PlayStation 4, PC",2021-12-13,84,6.5,18,14,Yacht Club Games,Action Puzzle,Not Rated,https://www.metacritic.com/game/shovel-knight-pocket-dungeon/
Mushihimesama,"iOS (iPhone/iPad), PlayStation 2, Xbox 360, PC, Nintendo Switch",2021-06-15,84,7.6,13,12,"Live Wire, Limited Run Games, SUPERDELUXE GAMES, Clear River Games",Vertical Shoot-'Em-Up,E10+,https://www.metacritic.com/game/mushihimesama/
Griftlands,"PC, PlayStation 4, Xbox One, Nintendo Switch",2021-06-01,84,7.3,10,70,Klei Entertainment,Card Battle,Not Rated,https://www.metacritic.com/game/griftlands/
Fuga: Melodies of Steel,"Nintendo Switch, PlayStation 4, PC, Xbox One, Xbox Series X, PlayStation 5",2021-07-29,84,7.5,15,54,CyberConnect2,JRPG,T,https://www.metacritic.com/game/fuga-melodies-of-steel/
ElecHead,"PC, Nintendo Switch, Xbox One",2021-10-14,84,8.0,8,10,NamaTakahashi,2D Platformer,Not Rated,https://www.metacritic.com/game/elechead/
Resident Evil Village,"PlayStation 5, Xbox Series X, PC, Xbox One, PlayStation 4, iOS (iPhone/iPad), Nintendo Switch",2021-05-07,84,8.4,119,4117,Capcom,Survival,M,https://www.metacritic.com/game/resident-evil-village/
The Darkside Detective: A Fumble in the Dark,"PC, Nintendo Switch, PlayStation 5, Xbox One, PlayStation 4, iOS (iPhone/iPad)",2021-04-15,84,7.8,8,21,Akupara Games,Point-and-Click,Not Rated,https://www.metacritic.com/game/the-darkside-detective-a-fumble-in-the-dark/
Unsighted,"PC, Nintendo Switch, PlayStation 4, Xbox One",2021-09-30,84,7.7,12,88,Humble Games,Action RPG,T,https://www.metacritic.com/game/unsighted/
Ghost of Tsushima: Iki Island,"PlayStation 5, PlayStation 4",2021-08-20,84,8.4,10,668,PlayStation Studios,Open-World Action,Not Rated,https://www.metacritic.com/game/ghost-of-tsushima-iki-island/
Castlevania Advance Collection,"PC, Nintendo Switch, Xbox One, PlayStation 4",2021-09-23,83,8.6,17,52,"Konami, Limited Run Games",Compilation,T,https://www.metacritic.com/game/castlevania-advance-collection/
Persona 5 Strikers,"Nintendo Switch, PlayStation 4, PC",2021-02-19,83,7.7,77,677,"Sega, Atlus",Action RPG,M,https://www.metacritic.com/game/persona-5-strikers/
Final Fantasy IV Pixel Remaster,"PC, iOS (iPhone/iPad), Nintendo Switch, PlayStation 4, Xbox Series X",2021-09-08,83,7.9,9,61,Square Enix,JRPG,E10+,https://www.metacritic.com/game/final-fantasy-iv-pixel-remaster/
Metro Exodus: Enhanced Edition,"Xbox Series X, PlayStation 5, Xbox One, PC",2021-06-18,83,8.1,11,596,"Deep Silver, Spike Chunsoft",FPS,M,https://www.metacritic.com/game/metro-exodus-enhanced-edition/
I Expect You To Die 2: The Spy And The Liar,"PC, PlayStation 4, Meta Quest",2021-08-24,83,8.1,13,19,Schell Games,First-Person Adventure,Not Rated,https://www.metacritic.com/game/i-expect-you-to-die-2-the-spy-and-the-liar/
NieR Replicant ver.1.22474487139...,"PlayStation 4, PC, Xbox One, Xbox Series X",2021-04-22,83,8.3,97,913,Square Enix,Action RPG,M,https://www.metacritic.com/game/nier-replicant-ver122474487139/
Danganronpa Decadence,Nintendo Switch,2021-12-03,83,8.4,19,50,"Spike Chunsoft, Numskull Games",Compilation,M,https://www.metacritic.com/game/danganronpa-decadence/
Unpacking,"PC, Nintendo Switch, Xbox One, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",2021-11-02,83,7.5,28,308,Witch Beam,Puzzle,Not Rated,https://www.metacritic.com/game/unpacking/
The Riftbreaker,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X",2021-10-14,83,8.1,9,86,Maximum Games,Action RPG,T,https://www.metacritic.com/game/the-riftbreaker/
Cupid Parasite,Nintendo Switch,2021-11-02,83,5.9,7,22,"Idea Factory, Otomate",Visual Novel,T,https://www.metacritic.com/game/cupid-parasite/
Sunlight,PC,2021-01-14,83,4.5,7,14,Krillbite Studio,First-Person Adventure,Not Rated,https://www.metacritic.com/game/sunlight/
UnderMine,"PC, Xbox One, Nintendo Switch, PlayStation 4",2021-02-11,83,6.8,9,26,"Fandom, Limited Run Games, Thorium Entertainment",Action Adventure,E10+,https://www.metacritic.com/game/undermine/
Shadow Tactics: Blades of the Shogun - Aiko's Choice,"PC, PlayStation 5, Xbox Series X",2021-12-06,83,8.0,15,60,Daedalic Entertainment,Real-Time Tactics,Not Rated,https://www.metacritic.com/game/shadow-tactics-blades-of-the-shogun-aikos-choice/
Pathfinder: Wrath of the Righteous,"PC, PlayStation 4, Xbox One, PlayStation 5, Nintendo Switch",2021-09-02,83,7.7,34,522,Owlcat Games,Western RPG,Not Rated,https://www.metacritic.com/game/pathfinder-wrath-of-the-righteous/
Atelier Mysterious Trilogy Deluxe Pack,"PC, PlayStation 4, Nintendo Switch",2021-04-22,82,7.1,14,12,Koei Tecmo Games,Compilation,T,https://www.metacritic.com/game/atelier-mysterious-trilogy-deluxe-pack/
Chivalry 2,"PC, PlayStation 4, Xbox One, Xbox Series X, PlayStation 5",2021-06-08,82,5.7,40,353,"Tripwire Interactive, Tripwire Presents",3D Beat-'Em-Up,M,https://www.metacritic.com/game/chivalry-2/
Lost Judgment,"PlayStation 5, Xbox Series X, PlayStation 4, Xbox One, PC",2021-09-21,82,8.5,83,412,Sega,Open-World Action,M,https://www.metacritic.com/game/lost-judgment/
Tadpole Treble Encore,Nintendo Switch,2021-01-21,82,6.7,15,7,"BitFinity, Premium Edition Games",Rhythm,E,https://www.metacritic.com/game/tadpole-treble-encore/
Dreamscaper,"PC, Nintendo Switch, Xbox One, Xbox Series X",2021-08-05,82,6.5,12,25,"Afterburner Studios, Limited Run Games, Freedom Games",Action RPG,E10+,https://www.metacritic.com/game/dreamscaper/
Shadowverse: Champion's Battle,Nintendo Switch,2021-08-10,82,8.0,18,35,"XSEED Games, Cygames, Marvelous Europe, Sega",Card Battle,T,https://www.metacritic.com/game/shadowverse-champions-battle/
Eastward,"PC, Nintendo Switch, Xbox Series X, Xbox One",2021-09-16,82,7.0,38,163,Chucklefish,RPG,T,https://www.metacritic.com/game/eastward/
The Life and Suffering of Sir Brante,"PC, PlayStation 4, Xbox One",2021-03-04,82,8.3,15,168,101XP,Text Adventure,Not Rated,https://www.metacritic.com/game/the-life-and-suffering-of-sir-brante/
Subnautica: Below Zero,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2021-05-14,82,7.1,30,457,Bandai Namco Games,Sandbox,E10+,https://www.metacritic.com/game/subnautica-below-zero/
