Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
MOTHERGUNSHIP: FORGE,"PC, Meta Quest",2022-06-16,84,8.8,7,5,Terrible Posture Games,Light Gun,Not Rated,https://www.metacritic.com/game/mothergunship-forge/
Gerda: A Flame in Winter,"Nintendo Switch, PC",2022-09-01,84,7.4,10,28,DONTNOD Entertainment,Third-Person Adventure,Not Rated,https://www.metacritic.com/game/gerda-a-flame-in-winter/
Gordian Quest,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, iOS (iPhone/iPad)",2022-06-23,84,7.8,13,24,Mixed Realms,Card Battle,Not Rated,https://www.metacritic.com/game/gordian-quest/
Infernax,"PC, Xbox Series X, Xbox One, Nintendo Switch, PlayStation 4",2022-02-14,84,7.6,15,49,"The Arcade Crew, H2 Interactive Co., Ltd., Merge Games",Metroidvania,M,https://www.metacritic.com/game/infernax/
Lost in Play,"PC, Nintendo Switch, iOS (iPhone/iPad), PlayStation 5, PlayStation 4",2022-08-10,84,8.1,12,51,"HappyJuice Games, Soft Source Pte Ltd, Chorus Worldwide, Super Rare Games",Adventure,E10+,https://www.metacritic.com/game/lost-in-play/
NeverAwake,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X",2022-09-28,84,7.3,9,12,Phoenixx Inc.,Horizontal Shoot-'Em-Up,Not Rated,https://www.metacritic.com/game/neverawake/
Patrick's Parabox,"PC, Nintendo Switch, PlayStation 5",2022-03-29,84,8.7,9,27,Patrick Traynor,Action Puzzle,Not Rated,https://www.metacritic.com/game/patricks-parabox/
This Way Madness Lies,"PC, Nintendo Switch, PlayStation 5",2022-11-10,84,,7,0,Zeboyd Games,JRPG,Not Rated,https://www.metacritic.com/game/this-way-madness-lies/
Retro Bowl,"iOS (iPhone/iPad), Nintendo Switch",2022-02-10,84,7.6,7,37,Five Aces Publishing Ltd.,Football Sim,E,https://www.metacritic.com/game/retro-bowl/
Prodeus,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2022-09-23,84,7.7,18,103,Humble Games,FPS,Not Rated,https://www.metacritic.com/game/prodeus/
Splatoon 3,Nintendo Switch,2022-09-09,83,7.2,123,810,Nintendo,Third Person Shooter,E10+,https://www.metacritic.com/game/splatoon-3/
Strange Horticulture,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, iOS (iPhone/iPad)",2022-01-21,83,6.9,13,57,Iceberg Interactive,Adventure,Not Rated,https://www.metacritic.com/game/strange-horticulture/
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3,Nintendo Switch,2022-12-07,83,7.5,7,29,Nintendo,Auto Racing,Not Rated,https://www.metacritic.com/game/mario-kart-8-deluxe-booster-course-pass-wave-3/
Two Point Campus,"PC, Nintendo Switch, Xbox Series X, PlayStation 5, Xbox One, PlayStation 4",2022-08-09,83,7.3,68,81,Sega,Tycoon,T,https://www.metacritic.com/game/two-point-campus/
Stray,"PlayStation 5, PC, PlayStation 4, Xbox Series X, Xbox One, Nintendo Switch",2022-07-19,83,8.3,106,3242,"Annapurna Interactive, Happinet",Action Adventure,E10+,https://www.metacritic.com/game/stray/
Triangle Strategy,"Nintendo Switch, PC, Meta Quest, Xbox Series X, PlayStation 5",2022-03-04,83,8.2,112,503,"Square Enix, Nintendo",Turn-Based Tactics,T,https://www.metacritic.com/game/triangle-strategy/
Betrayal At Club Low,PC,2022-09-09,83,8.3,14,6,Cosmo D Studios,Point-and-Click,Not Rated,https://www.metacritic.com/game/betrayal-at-club-low/
Moss: Book II,"PlayStation 4, PC, PlayStation 5, Meta Quest",2022-03-31,83,7.5,40,57,Polyarc,Action Adventure,E10+,https://www.metacritic.com/game/moss-book-ii/
Hardspace: Shipbreaker,"PC, Xbox Series X, PlayStation 5",2022-05-24,83,7.4,38,73,Focus Entertainment,Virtual Career,Not Rated,https://www.metacritic.com/game/hardspace-shipbreaker/
Pokemon Legends: Arceus,Nintendo Switch,2022-01-28,83,8.0,125,4879,"Nintendo, The Pokemon Company",Trainer RPG,E,https://www.metacritic.com/game/pokemon-legends-arceus/
Green Hell VR,"PC, PlayStation 5, Meta Quest",2022-06-09,83,6.5,7,17,Incuvo,Survival,Not Rated,https://www.metacritic.com/game/green-hell-vr/
Marvel's Midnight Suns,"PC, Xbox Series X, Xbox One, Nintendo Switch, PlayStation 5, PlayStation 4",2022-12-02,83,7.2,86,421,2K Games,Turn-Based Tactics,T,https://www.metacritic.com/game/marvels-midnight-suns/
Grounded,"Xbox One, PC, Xbox Series X, Nintendo Switch, PlayStation 5, PlayStation 4",2022-09-27,83,7.8,30,440,"Xbox Game Studios, Limited Run Games",Sandbox,T,https://www.metacritic.com/game/grounded/
Roadwarden,"PC, Nintendo Switch",2022-09-12,83,8.4,9,22,Assemble Entertainment,RPG,Not Rated,https://www.metacritic.com/game/roadwarden/
Crusader Kings III: The Royal Court,"PC, PlayStation 5, Xbox Series X",2022-02-08,83,6.4,7,19,Paradox Interactive,Real-Time Strategy,Not Rated,https://www.metacritic.com/game/crusader-kings-iii-the-royal-court/
Islets,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2022-08-24,82,8.0,9,59,"Armor Games, Teyon, Super Rare Games",Metroidvania,E10+,https://www.metacritic.com/game/islets/
Hatsune Miku: Project Diva MegaMix+,PC,2022-05-26,82,8.2,14,34,Sega,Rhythm,T,https://www.metacritic.com/game/hatsune-miku-project-diva-megamix-plus/
Not For Broadcast,"PC, Xbox One, PlayStation 4, Meta Quest",2022-01-25,82,8.1,15,82,tinyBuild,Virtual Career,Not Rated,https://www.metacritic.com/game/not-for-broadcast/
Wylde Flowers,"iOS (iPhone/iPad), Nintendo Switch, PC, Xbox Series X, PlayStation 5",2022-09-20,82,8.5,9,81,Studio Drydock Pty Ltd,Virtual Life,Not Rated,https://www.metacritic.com/game/wylde-flowers/
Atelier Sophie 2: The Alchemist of the Mysterious Dream,"Nintendo Switch, PC, PlayStation 4",2022-02-25,82,7.9,26,51,Koei Tecmo Games,JRPG,T,https://www.metacritic.com/game/atelier-sophie-2-the-alchemist-of-the-mysterious/
Hero's Hour,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",2022-03-01,82,6.1,9,24,Goblinz Studio,Turn-Based Strategy,Not Rated,https://www.metacritic.com/game/heros-hour/
Cult of the Lamb,"PC, PlayStation 5, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, iOS (iPhone/iPad)",2022-08-11,82,7.8,93,800,Devolver Digital,Action Adventure,Not Rated,https://www.metacritic.com/game/cult-of-the-lamb/
A Plague Tale: Requiem,"Xbox Series X, PC, PlayStation 5, Nintendo Switch",2022-10-18,82,8.3,70,1647,"Focus Entertainment, Oizumi Amuzio, H2 Interactive Co., Ltd.",Linear Action Adventure,M,https://www.metacritic.com/game/a-plague-tale-requiem/
Shadows Over Loathing,"PC, Nintendo Switch, PlayStation 5, PlayStation 4",2022-11-11,82,8.6,8,14,Asymmetric Publications,JRPG,Not Rated,https://www.metacritic.com/game/shadows-over-loathing/
This War of Mine: Final Cut,"PlayStation 5, Xbox Series X",2022-05-10,82,7.4,12,99,11 bit studios,Survival,M,https://www.metacritic.com/game/this-war-of-mine-final-cut/
Nightmare Reaper,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2022-03-28,82,7.3,12,24,Blazing Bit Games,FPS,Not Rated,https://www.metacritic.com/game/nightmare-reaper/
World of Warcraft: Dragonflight,PC,2022-11-28,82,5.1,26,698,Activision,MMORPG,T,https://www.metacritic.com/game/world-of-warcraft-dragonflight/
Lunistice,"PC, Nintendo Switch",2022-11-10,82,7.5,9,24,Deck 13,3D Platformer,E,https://www.metacritic.com/game/lunistice/
Citizen Sleeper,"PC, Xbox Series X, Xbox One, Nintendo Switch, PlayStation 5, PlayStation 4",2022-05-05,82,7.5,23,160,Fellow Traveller,Western RPG,Not Rated,https://www.metacritic.com/game/citizen-sleeper/
LEGO Star Wars: The Skywalker Saga,"Xbox One, PC, PlayStation 4, Nintendo Switch, PlayStation 5, Xbox Series X",2022-04-05,82,7.7,64,820,Warner Bros. Interactive Entertainment,Action Adventure,E10+,https://www.metacritic.com/game/lego-star-wars-the-skywalker-saga/
Among Us VR,"PlayStation 4, PC, PlayStation 5, Meta Quest",2022-11-10,82,6.7,8,20,Innersloth,Survival,E10+,https://www.metacritic.com/game/among-us-vr/
Victoria 3,PC,2022-10-25,81,6.2,39,216,Paradox Interactive,Real-Time Strategy,T,https://www.metacritic.com/game/victoria-3/
Live A Live,"Nintendo Switch, PlayStation 5, PlayStation 4, PC",2022-07-22,81,7.5,103,147,"Nintendo, Square Enix",JRPG,T,https://www.metacritic.com/game/live-a-live/
Guild Wars 2: End of Dragons,PC,2022-02-28,81,7.4,12,136,NCSOFT,MMORPG,T,https://www.metacritic.com/game/guild-wars-2-end-of-dragons/
Symphony of War: The Nephilim Saga,PC,2022-06-10,81,7.4,8,43,Freedom Games,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/symphony-of-war-the-nephilim-saga/
SIFU,"PlayStation 5, PlayStation 4, PC, Nintendo Switch, Xbox Series X, Xbox One",2022-02-08,81,7.9,83,1260,"Sloclap, Microids, H2 Interactive Co., Ltd.",3D Beat-'Em-Up,M,https://www.metacritic.com/game/sifu/
The Planet Crafter,PC,2022-03-24,81,5.5,7,100,Miju Games,Sandbox,Not Rated,https://www.metacritic.com/game/the-planet-crafter/
"Warhammer 40,000: Chaos Gate - Daemonhunters","PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2022-05-05,81,7.0,41,92,"Frontier Foundry, Frontier Developments",Turn-Based Tactics,M,https://www.metacritic.com/game/warhammer-40000-chaos-gate-daemonhunters/
Signalis,"PC, Xbox One, Nintendo Switch, PlayStation 4",2022-10-27,81,8.4,36,330,Humble Games,Survival,M,https://www.metacritic.com/game/signalis/
Shovel Knight Dig,"PlayStation 5, Xbox Series X, Nintendo Switch, iOS (iPhone/iPad), PC, Xbox One",2022-09-23,81,6.8,26,28,Yacht Club Games,2D Platformer,Not Rated,https://www.metacritic.com/game/shovel-knight-dig/
Penko Park,"PC, Nintendo Switch",2022-09-27,81,,15,0,Secret Mode,First-Person Adventure,E,https://www.metacritic.com/game/penko-park/
Pocky & Rocky Reshrined,"Nintendo Switch, PlayStation 4, PC, Xbox Series X",2022-06-24,81,7.7,9,22,"Natsume, NATSUME ATARI Inc., ININ Games",Top-Down Shoot-'Em-Up,E10+,https://www.metacritic.com/game/pocky-and-rocky-reshrined/
Railbound,"PC, iOS (iPhone/iPad), Nintendo Switch, Xbox One, Xbox Series X",2022-12-01,81,7.1,7,12,7Levels,Action Puzzle,E,https://www.metacritic.com/game/railbound/
Syberia: The World Before,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2022-03-18,81,8.4,32,198,Microids,Point-and-Click,T,https://www.metacritic.com/game/syberia-the-world-before/
Dawn of the Monsters,"PC, Nintendo Switch, Xbox Series X, PlayStation 5, PlayStation 4, Xbox One, iOS (iPhone/iPad)",2022-03-15,81,7.0,7,6,"WayForward, Limited Run Games, Oizumi Amuzio",2D Beat-'Em-Up,T,https://www.metacritic.com/game/dawn-of-the-monsters/
Lost Ark,PC,2022-02-11,81,4.8,54,635,Amazon Game Studios,MMORPG,M,https://www.metacritic.com/game/lost-ark/
Eyes in the Dark: The Curious Case of One Victoria Bloom,PC,2022-07-14,81,8.0,15,5,Gearbox Publishing,2D Platformer,E10+,https://www.metacritic.com/game/eyes-in-the-dark-the-curious-case-of-one-victoria/
Young Souls,"PC, Nintendo Switch, PlayStation 4, Xbox One",2022-03-10,81,7.1,14,23,The Arcade Crew,2D Beat-'Em-Up,M,https://www.metacritic.com/game/young-souls/
Fire Emblem Warriors: Three Hopes,Nintendo Switch,2022-06-24,80,7.0,112,321,"Nintendo, Koei Tecmo Games",3D Beat-'Em-Up,T,https://www.metacritic.com/game/fire-emblem-warriors-three-hopes/
Cursed to Golf,"Nintendo Switch, PC, Xbox One, Xbox Series X, PlayStation 5, PlayStation 4",2022-08-18,80,6.3,19,31,Thunderful,Golf,Not Rated,https://www.metacritic.com/game/cursed-to-golf/
Dungeons of Dreadrock,Unknown,2022-05-12,80,7.4,18,0,Unknown,Unknown,T,https://www.metacritic.com/game/dungeons-of-dreadrock/
Card Shark,"Nintendo Switch, PC",2022-06-02,80,7.4,38,44,Devolver Digital,Adventure,E10+,https://www.metacritic.com/game/card-shark/
Azure Striker Gunvolt 3,"Xbox One, PC, Nintendo Switch, PlayStation 5, PlayStation 4",2022-07-28,80,8.4,15,16,Inti Creates,2D Platformer,T,https://www.metacritic.com/game/azure-striker-gunvolt-3/
Football Manager 2023,"PlayStation 5, PC, iOS (iPhone/iPad), Xbox Series X, Xbox One, Nintendo Switch",2022-11-08,80,7.0,35,120,"Sega Europe, Sega",Soccer Management,E,https://www.metacritic.com/game/football-manager-2023/
The Excavation of Hob's Barrow,"PC, Nintendo Switch",2022-09-28,80,7.9,19,32,Wadjet Eye Games,Point-and-Click,Not Rated,https://www.metacritic.com/game/the-excavation-of-hobs-barrow/
Teardown,"PC, PlayStation 5, Xbox Series X",2022-04-21,80,8.1,20,188,Tuxedo Labs,Sandbox,Not Rated,https://www.metacritic.com/game/teardown/
The Legend of Heroes: Trails from Zero,"PSP, PlayStation Vita, PC, PlayStation 4, Nintendo Switch",2022-09-27,80,7.4,19,78,"NIS America, Koei Tecmo Games, Falcom, Clouded Leopard Entertainment",JRPG,T,https://www.metacritic.com/game/the-legend-of-heroes-trails-from-zero/
The Entropy Centre,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4, Nintendo Switch",2022-11-03,80,7.3,16,35,Playstack,First-Person Adventure,Not Rated,https://www.metacritic.com/game/the-entropy-centre/
Please Fix The Road,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2022-06-10,80,,7,0,Ariel Jurkowski,Puzzle,Not Rated,https://www.metacritic.com/game/please-fix-the-road/
Expeditions: Rome,PC,2022-01-20,80,7.8,40,109,THQ Nordic,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/expeditions-rome/
Yu-Gi-Oh! Master Duel,"Nintendo Switch, iOS (iPhone/iPad), PlayStation 4, PlayStation 5, Xbox One, Xbox Series X, PC",2022-01-19,80,6.0,13,173,Konami,Card Battle,T,https://www.metacritic.com/game/yu-gi-oh-master-duel/
Saturnalia,"PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One, Nintendo Switch",2022-10-27,80,6.5,13,30,Santa Ragione,Survival,Not Rated,https://www.metacritic.com/game/saturnalia/
The Sims 4: Werewolves,"PlayStation 4, Xbox One, PC",2022-06-16,80,3.5,8,4,Electronic Arts,Virtual Life,T,https://www.metacritic.com/game/the-sims-4-werewolves/
Blacktail,"PC, Xbox Series X, PlayStation 5",2022-12-15,80,7.1,16,53,Focus Entertainment,FPS,Not Rated,https://www.metacritic.com/game/blacktail/
Them's Fightin' Herds,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2022-10-18,80,7.0,9,15,Modus Games,2D Fighting,E10+,https://www.metacritic.com/game/thems-fightin-herds/
Potionomics,PC,2022-10-17,80,7.8,11,29,XSEED Games,Tycoon,E10+,https://www.metacritic.com/game/potionomics/
DNF Duel: Who's Next,"PlayStation 4, PlayStation 5, PC, Nintendo Switch",2022-06-28,80,5.9,20,33,"Nexon, Arc System Works",2D Fighting,T,https://www.metacritic.com/game/dnf-duel-whos-next/
Taiko no Tatsujin: Rhythm Festival,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",2022-09-23,80,7.3,23,19,Bandai Namco Games,Rhythm,E,https://www.metacritic.com/game/taiko-no-tatsujin-rhythm-festival/
Escape Academy,"Xbox Series X, Xbox One, PlayStation 4, PC, PlayStation 5",2022-07-13,79,8.0,20,63,iam8bit,First-Person Adventure,Not Rated,https://www.metacritic.com/game/escape-academy/
Voice of Cards: The Forsaken Maiden,"PlayStation 4, PC, Nintendo Switch",2022-02-17,79,6.3,19,18,Square Enix,Card Battle,T,https://www.metacritic.com/game/voice-of-cards-the-forsaken-maiden/
RAILGRADE,"PC, Nintendo Switch",2022-09-29,79,8.0,8,8,"Epic Games, Minakata Dynamics",Tycoon,Not Rated,https://www.metacritic.com/game/railgrade/
Variable Barricade,"PlayStation Vita, PlayStation 4, Nintendo Switch",2022-02-24,79,5.9,7,8,"Aksys Games, Idea Factory",Visual Novel,T,https://www.metacritic.com/game/variable-barricade/
Rollerdrome,"PlayStation 5, PlayStation 4, PC, Xbox Series X",2022-08-16,79,6.9,51,115,"Private Division, Take-Two Interactive",Third Person Shooter,M,https://www.metacritic.com/game/rollerdrome/
Call of Duty: Warzone,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2022-11-14,79,4.1,9,479,Activision,Tactical FPS,M,https://www.metacritic.com/game/call-of-duty-warzone/
CULTIC: Chapter One,PC,2022-10-13,79,8.2,11,42,3D Realms,FPS,Not Rated,https://www.metacritic.com/game/cultic-chapter-one/
The King of Fighters XV,"PlayStation 4, PlayStation 5, PC, Xbox Series X",2022-02-14,79,7.5,55,109,"Prime Matter, Koch Media, SNK Corporation, Deep Silver",2D Fighting,T,https://www.metacritic.com/game/the-king-of-fighters-xv/
The Elder Scrolls Online: High Isle,"PC, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5",2022-06-06,79,6.2,17,24,Bethesda Softworks,MMORPG,Not Rated,https://www.metacritic.com/game/the-elder-scrolls-online-high-isle/
F1 22,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2022-06-28,79,4.2,40,183,Electronic Arts,Auto Racing Sim,E,https://www.metacritic.com/game/f1-22/
Teenage Mutant Ninja Turtles: The Cowabunga Collection,"PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One, PC",2022-08-30,79,7.6,47,62,Konami,Compilation,T,https://www.metacritic.com/game/teenage-mutant-ninja-turtles-the-cowabunga/
Metal: Hellsinger,"PlayStation 4, Xbox One, PlayStation 5, Xbox Series X, PC",2022-09-15,79,7.5,67,229,Funcom,FPS,Not Rated,https://www.metacritic.com/game/metal-hellsinger/
Birushana: Rising Flower of Genpei,Nintendo Switch,2022-06-28,79,5.2,14,5,"Idea Factory, Otomate, Reef Entertainment",Visual Novel,T,https://www.metacritic.com/game/birushana-rising-flower-of-genpei/
The Quarry,"PC, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One",2022-06-10,79,6.5,92,839,2K Games,Third-Person Adventure,M,https://www.metacritic.com/game/the-quarry/
Ghost Song,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2022-11-03,79,6.9,13,87,Humble Games,Metroidvania,T,https://www.metacritic.com/game/ghost-song/
Nobody Saves the World,"Xbox Series X, PC, Xbox One, Nintendo Switch, PlayStation 5, PlayStation 4",2022-01-18,79,7.4,31,139,DrinkBox Studios,Action RPG,T,https://www.metacritic.com/game/nobody-saves-the-world/
Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,"iOS (iPhone/iPad), Nintendo Switch, PlayStation 4, PC",2022-08-11,79,7.1,18,18,Neos,Adventure,E,https://www.metacritic.com/game/shin-chan-me-and-the-professor-on-summer-vacation/
F1 Manager 2022,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2022-08-25,79,6.5,23,92,Frontier Developments,Racing Sim,E,https://www.metacritic.com/game/f1-manager-2022/
Capcom Fighting Collection,"Nintendo Switch, PC, PlayStation 4, Xbox One",2022-06-24,79,7.0,35,20,Capcom,Compilation,T,https://www.metacritic.com/game/capcom-fighting-collection/
Wayward Strand,"PC, PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One",2022-09-15,79,6.0,11,6,Ghost Pattern,Adventure,T,https://www.metacritic.com/game/wayward-strand/
A Musical Story,"Nintendo Switch, Xbox One, iOS (iPhone/iPad), PC, PlayStation 5, PlayStation 4, Xbox Series X",2022-03-03,79,7.1,8,8,"Digerati Distribution, EastAsiaSoft",Rhythm,M,https://www.metacritic.com/game/a-musical-story/
The Knight Witch,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2022-11-29,79,6.8,10,26,Team17,Metroidvania,Not Rated,https://www.metacritic.com/game/the-knight-witch/
Tiny Tina's Wonderlands,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One",2022-03-25,78,5.7,91,428,2K Games,FPS,T,https://www.metacritic.com/game/tiny-tinas-wonderlands/
River City Girls 2,"Nintendo Switch, PlayStation 4, PC, Xbox Series X, PlayStation 5, Xbox One, iOS (iPhone/iPad)",2022-12-15,78,5.9,13,24,"Arc System Works, Limited Run Games, WayForward",2D Beat-'Em-Up,E10+,https://www.metacritic.com/game/river-city-girls-2/
Cotton Fantasy,"PC, Nintendo Switch, PlayStation 4",2022-05-20,78,7.3,13,12,"ININ Games, Success",Horizontal Shoot-'Em-Up,E10+,https://www.metacritic.com/game/cotton-fantasy/
Klonoa Phantasy Reverie Series,"Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One, PC",2022-07-08,78,7.9,33,68,Bandai Namco Games,Compilation,E10+,https://www.metacritic.com/game/klonoa-phantasy-reverie-series/
WindJammers 2,"Nintendo Switch, PC, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2022-01-20,78,6.9,37,30,DotEmu,Individual Sports,E,https://www.metacritic.com/game/windjammers-2/
Crowns and Pawns: Kingdom of Deceit,"PC, Nintendo Switch, PlayStation 4, Xbox One, Xbox Series X, PlayStation 5",2022-05-06,78,8.2,11,14,Thunderful,Point-and-Click,Not Rated,https://www.metacritic.com/game/crowns-and-pawns-kingdom-of-deceit/
NBA 2K23,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch, iOS (iPhone/iPad)",2022-09-09,78,4.5,59,228,"2K Games, Take-Two Interactive",Basketball Sim,E,https://www.metacritic.com/game/nba-2k23/
Sonic Origins,"Nintendo Switch, Xbox Series X, PlayStation 5, PlayStation 4, Xbox One, PC",2022-06-23,78,7.5,45,189,Sega,Compilation,E,https://www.metacritic.com/game/sonic-origins/
Revita,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2022-04-21,78,8.0,11,10,"Dear Villagers, Red Art Games, Oizumi Amuzio, Plug In Digital",2D Platformer,E10+,https://www.metacritic.com/game/revita/
Hell Pie,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox Series X, Xbox One",2022-07-21,78,7.2,8,28,Headup Games,3D Platformer,Not Rated,https://www.metacritic.com/game/hell-pie/
Once Upon a Jester,"Nintendo Switch, Xbox Series X, PlayStation 5, PC",2022-11-09,78,8.4,7,11,Crunching Koalas,Adventure,E10+,https://www.metacritic.com/game/once-upon-a-jester/
Redout 2,"PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox Series X, PlayStation 5",2022-06-16,78,6.8,13,27,Saber Interactive,Future Racing,E10+,https://www.metacritic.com/game/redout-2/
"Please, Touch The Artwork","PC, iOS (iPhone/iPad), Nintendo Switch",2022-09-03,78,,7,0,Nakana.io,Puzzle,E,https://www.metacritic.com/game/please-touch-the-artwork/
Crisis Core: Final Fantasy VII Reunion,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch",2022-12-13,78,7.6,84,598,Square Enix,Action RPG,T,https://www.metacritic.com/game/crisis-core-final-fantasy-vii-reunion/
Andro Dunos 2,"Nintendo Switch, Xbox One, PlayStation 4, Dreamcast, 3DS, PC",2022-03-24,78,8.4,13,11,"Just For Games, VGNYsoft",Horizontal Shoot-'Em-Up,E,https://www.metacritic.com/game/andro-dunos-2/
Tinykin,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox One, Xbox Series X",2022-08-30,78,8.1,19,116,tinyBuild,3D Platformer,Not Rated,https://www.metacritic.com/game/tinykin/
MLB The Show 22,"PlayStation 5, Nintendo Switch, PlayStation 4, Xbox Series X, Xbox One",2022-04-01,77,5.1,48,76,Sony Interactive Entertainment,Baseball Sim,E,https://www.metacritic.com/game/mlb-the-show-22/
Capcom Arcade 2nd Stadium,"Nintendo Switch, PC, Xbox One, PlayStation 4",2022-07-22,77,7.3,29,15,Capcom,Compilation,T,https://www.metacritic.com/game/capcom-arcade-2nd-stadium/
Need for Speed Unbound,"PC, Xbox Series X, PlayStation 5",2022-11-29,77,5.9,54,1111,Electronic Arts,Auto Racing,T,https://www.metacritic.com/game/need-for-speed-unbound/
Blossom Tales II: The Minotaur Prince,"PC, Nintendo Switch, Xbox Series X, Xbox One, iOS (iPhone/iPad)",2022-08-16,77,8.5,12,29,Playtonic Friends,Open-World Action,E10+,https://www.metacritic.com/game/blossom-tales-ii-the-minotaur-prince/
Distant Worlds 2,PC,2022-03-10,77,6.7,8,17,Slitherine,Strategy,Not Rated,https://www.metacritic.com/game/distant-worlds-2/
Lover Pretend,Nintendo Switch,2022-12-01,77,,7,0,"Aksys Games, Idea Factory",Visual Novel,T,https://www.metacritic.com/game/lover-pretend/
Ship of Fools,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",2022-11-22,77,6.9,10,24,"Team17, Super Rare Games",Roguelike,E10+,https://www.metacritic.com/game/ship-of-fools/
Sucker for Love: First Date,"PC, Nintendo Switch",2022-01-20,77,8.3,11,18,DreadXP,Visual Novel,Not Rated,https://www.metacritic.com/game/sucker-for-love-first-date/
Kombinera,"PC, Nintendo Switch, iOS (iPhone/iPad), PlayStation 5, Xbox Series X, Xbox One, PlayStation 4",2022-04-07,77,,8,0,Atari,Action Puzzle,E,https://www.metacritic.com/game/kombinera/
Gunvolt Chronicles: Luminous Avenger iX 2,"Nintendo Switch, PC, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5",2022-01-27,77,7.8,10,12,"Inti Creates, Justdan",2D Platformer,T,https://www.metacritic.com/game/gunvolt-chronicles-luminous-avenger-ix-2/
"Warhammer 40,000: Shootas, Blood & Teef","Nintendo Switch, PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series X",2022-10-20,77,6.8,12,13,Rogueside,2D Platformer,Not Rated,https://www.metacritic.com/game/warhammer-40000-shootas-blood-and-teef/
Melatonin,"PC, Nintendo Switch, PlayStation 5",2022-12-15,77,8.5,11,26,Half Asleep,Rhythm,Not Rated,https://www.metacritic.com/game/melatonin/
Just Dance 2023 Edition,"Nintendo Switch, PlayStation 5, Xbox Series X",2022-11-22,77,6.7,12,36,Ubisoft,Dancing,E,https://www.metacritic.com/game/just-dance-2023-edition/
Voice of Cards: The Beasts of Burden,"Nintendo Switch, PlayStation 4, PC",2022-09-13,77,7.9,19,8,Square Enix,Card Battle,T,https://www.metacritic.com/game/voice-of-cards-the-beasts-of-burden/
FixFox,PC,2022-03-31,77,7.6,8,5,Joystick Ventures,Adventure,Not Rated,https://www.metacritic.com/game/fixfox/
Freud's Bones - The Game,"Nintendo Switch, PC",2022-05-25,77,7.3,7,12,Axel Fox,Adventure,Not Rated,https://www.metacritic.com/game/freuds-bones-the-game-2022/
Mount & Blade II: Bannerlord,"PC, Xbox Series X, PlayStation 5, PlayStation 4, Xbox One",2022-10-25,77,7.9,25,584,"Taleworlds Entertainment, Prime Matter",Western RPG,Not Rated,https://www.metacritic.com/game/mount-and-blade-ii-bannerlord/
Relayer,"PlayStation 5, PlayStation 4",2022-03-24,77,5.2,8,17,"Clouded Leopard Entertainment, Red Art Games, Kadokawa",Turn-Based Tactics,T,https://www.metacritic.com/game/relayer/
